Sex,Age,Occupation,Education Level,Proportion Invest,Mutua Funds,Equity Market,Corporate Bonds,Government Bonds,Fixed Deposits,Public Provident Fund,Gold/SGB,Invest Stocks,Factors Investment,Investment Objective,Duration,Expected Return,Reason Equity,Reason MF,Reason Gsec,Reason FD,Source
Male,39,Salaried,Post Graduate,10% - 20%,3,3,3,3,5,5,5,Yes,Returns,Growth,More than 5 years,10% - 20%,Power of compounding,Better Returns,Safe Investment,Fixed returns,Newspapers and Magazines
Male,30,Salaried,Post Graduate,20% - 30%,3,6,2,2,2,2,3,Yes,Locking period,Capital appreciation,More than 5 years,10% - 20%,Capital Appreciation,Better Returns,Risk-free returns,Fixed returns,Internet
Female,26,Salaried,Professional Degree,30% and above,7,4,3,3,4,4,4,Yes,Returns,Income,More than 5 years,10% - 20%,Liquidity,Better Returns,Risk-free returns,Fixed returns,Internet
Male,32,Salaried,Post Graduate,10% - 20%,7,5,2,4,3,2,3,Yes,Returns,Capital appreciation,3-5 years,10% - 20%,Capital Appreciation,Funds Diversification,Risk-free returns,Risk free,Internet
Male,28,Salaried,Professional Degree,30% and above,4,6,4,3,1,2,3,Yes,Returns,Capital appreciation,1-3 years,10% - 20%,Capital Appreciation,Tax Benefits,Tax Incentives,Fixed returns,Internet
Male,35,Salaried,Post Graduate,20% - 30%,3,1,2,7,5,4,6,Yes,Returns,Capital appreciation,3-5 years,10% - 20%,Capital Appreciation,Better Returns,Tax Incentives,High Interest Rates,Newspapers and Magazines
Female,24,Salaried,Post Graduate,30% and above,7,6,4,6,7,6,4,Yes,Returns,Capital appreciation,1-3 years,20% and above,Capital Appreciation,Funds Diversification,Risk-free returns,Risk free,Internet
Female,36,Others,Others,20% - 30%,7,7,4,4,2,3,3,Yes,Returns,Capital appreciation,3-5 years,10% - 20%,Power of compounding,Better Returns,Safe Investment,Risk free,Internet
Male,50,Salaried,Others,10% - 20%,6,4,3,7,6,6,5,No,Risk,Capital appreciation,More than 5 years,10% - 20%,Power of compounding,Funds Diversification,Safe Investment,Easy to invest in FD,Newspapers and Magazines
Female,45,Salaried,Ph. D,5% - 10%,4,5,2,4,5,7,5,Yes,Returns,Growth,More than 5 years,10% - 20%,Capital Appreciation,Better Returns,Safe Investment,Fixed returns,Internet
